 Container newspaper_redis  Running
2026-02-02 10:12:00 | INFO | newspaper_service | Connected to Redis at newspaper_redis:6379
2026-02-02 10:12:00 | INFO | newspaper_service | Starting scraper runner
2026-02-02 10:12:00 | INFO | newspaper_service | Running scraper: EtemadScraper
2026-02-02 10:12:00 | INFO | newspaper_service | Connected to Redis at newspaper_redis:6379
2026-02-02 10:12:00 | INFO | newspaper_service | Etemad issue_id detected: 6254
2026-02-02 10:12:00 | INFO | newspaper_service | Redis lock acquired for etemad issue 6254
2026-02-02 10:12:00 | INFO | newspaper_service | Redis lock released for etemad issue 6254
2026-02-02 10:12:00 | INFO | newspaper_service | TEMP_DIR does not exist, nothing to clean
2026-02-02 10:12:00 | INFO | newspaper_service | Scraper finished successfully: EtemadScraper
2026-02-02 10:12:00 | INFO | newspaper_service | Running scraper: IranScraper
2026-02-02 10:12:00 | INFO | newspaper_service | Connected to Redis at newspaper_redis:6379
2026-02-02 10:12:01 | INFO | newspaper_service | Iran issue_id detected: ۸۹۵۱
2026-02-02 10:12:01 | INFO | newspaper_service | Redis lock acquired for iran issue ۸۹۵۱
2026-02-02 10:12:01 | INFO | newspaper_service | Redis lock released for iran issue ۸۹۵۱
2026-02-02 10:12:01 | INFO | newspaper_service | TEMP_DIR does not exist, nothing to clean
2026-02-02 10:12:01 | INFO | newspaper_service | Scraper finished successfully: IranScraper
2026-02-02 10:12:01 | INFO | newspaper_service | Running scraper: PishkhanScraper
2026-02-02 10:12:01 | INFO | newspaper_service | Connected to Redis at newspaper_redis:6379
2026-02-02 10:12:01 | INFO | newspaper_service | Pishkhan daily issue_id: pishkhan-20260202
2026-02-02 10:12:01 | INFO | newspaper_service | Redis lock acquired for pishkhan issue pishkhan-20260202
2026-02-02 10:12:03 | INFO | newspaper_service | Collected 45 viewer links (۱۳ بهمن)
 Container newspaper_redis  Running
2026-02-02 10:13:18 | INFO | newspaper_service | Connected to Redis at newspaper_redis:6379
2026-02-02 10:13:18 | INFO | newspaper_service | Starting scraper runner
2026-02-02 10:13:18 | INFO | newspaper_service | Running scraper: EtemadScraper
2026-02-02 10:13:18 | INFO | newspaper_service | Connected to Redis at newspaper_redis:6379
2026-02-02 10:13:19 | INFO | newspaper_service | Etemad issue_id detected: 6254
2026-02-02 10:13:19 | INFO | newspaper_service | Redis lock acquired for etemad issue 6254
2026-02-02 10:13:19 | INFO | newspaper_service | Redis lock released for etemad issue 6254
2026-02-02 10:13:19 | INFO | newspaper_service | Starting cleanup of TEMP_DIR: /app/output/tmp
2026-02-02 10:13:19 | INFO | newspaper_service | Removing directory: /app/output/tmp/pishkhan
2026-02-02 10:13:19 | INFO | newspaper_service | TEMP_DIR cleanup completed successfully
2026-02-02 10:13:19 | INFO | newspaper_service | Scraper finished successfully: EtemadScraper
2026-02-02 10:13:19 | INFO | newspaper_service | Running scraper: IranScraper
2026-02-02 10:13:19 | INFO | newspaper_service | Connected to Redis at newspaper_redis:6379
2026-02-02 10:13:19 | INFO | newspaper_service | Iran issue_id detected: ۸۹۵۱
2026-02-02 10:13:19 | INFO | newspaper_service | Redis lock acquired for iran issue ۸۹۵۱
2026-02-02 10:13:19 | INFO | newspaper_service | Redis lock released for iran issue ۸۹۵۱
2026-02-02 10:13:19 | INFO | newspaper_service | Starting cleanup of TEMP_DIR: /app/output/tmp
2026-02-02 10:13:19 | INFO | newspaper_service | TEMP_DIR cleanup completed successfully
2026-02-02 10:13:19 | INFO | newspaper_service | Scraper finished successfully: IranScraper
2026-02-02 10:13:19 | INFO | newspaper_service | Running scraper: PishkhanScraper
2026-02-02 10:13:19 | INFO | newspaper_service | Connected to Redis at newspaper_redis:6379
2026-02-02 10:13:19 | INFO | newspaper_service | Pishkhan daily issue_id: pishkhan-20260202
2026-02-02 10:13:19 | WARNING | newspaper_service | Redis lock exists, skipping: pishkhan / pishkhan-20260202
Lock exists, skipping: pishkhan / pishkhan-20260202
2026-02-02 10:13:19 | INFO | newspaper_service | Starting cleanup of TEMP_DIR: /app/output/tmp
2026-02-02 10:13:19 | INFO | newspaper_service | TEMP_DIR cleanup completed successfully
2026-02-02 10:13:19 | INFO | newspaper_service | Scraper finished successfully: PishkhanScraper
2026-02-02 10:13:19 | INFO | newspaper_service | All scrapers processed
